StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10Y1001A1001A65H,MAW,B04,215
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10Y1001A1001A65H,MAW,B04,212
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10Y1001A1001A65H,MAW,B04,213
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10Y1001A1001A65H,MAW,B04,214
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10Y1001A1001A65H,MAW,B04,215
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10Y1001A1001A65H,MAW,B04,223
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10Y1001A1001A65H,MAW,B04,226
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10Y1001A1001A65H,MAW,B04,232
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10Y1001A1001A65H,MAW,B04,246
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10Y1001A1001A65H,MAW,B04,244
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10Y1001A1001A65H,MAW,B04,239
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10Y1001A1001A65H,MAW,B04,236
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10Y1001A1001A65H,MAW,B04,238
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10Y1001A1001A65H,MAW,B04,243
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10Y1001A1001A65H,MAW,B04,271
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10Y1001A1001A65H,MAW,B04,380
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10Y1001A1001A65H,MAW,B04,412
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10Y1001A1001A65H,MAW,B04,411
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10Y1001A1001A65H,MAW,B04,394
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10Y1001A1001A65H,MAW,B04,358
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10Y1001A1001A65H,MAW,B04,321
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10Y1001A1001A65H,MAW,B04,316
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10Y1001A1001A65H,MAW,B04,235
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10Y1001A1001A65H,MAW,B04,212
2022-01-01T23:00+00:00Z,2022-01-02T00:00+00:00Z,10Y1001A1001A65H,MAW,B04,208
2022-01-02T00:00+00:00Z,2022-01-02T01:00+00:00Z,10Y1001A1001A65H,MAW,B04,216
2022-01-02T01:00+00:00Z,2022-01-02T02:00+00:00Z,10Y1001A1001A65H,MAW,B04,203
2022-01-02T02:00+00:00Z,2022-01-02T03:00+00:00Z,10Y1001A1001A65H,MAW,B04,209
2022-01-02T03:00+00:00Z,2022-01-02T04:00+00:00Z,10Y1001A1001A65H,MAW,B04,216
2022-01-02T04:00+00:00Z,2022-01-02T05:00+00:00Z,10Y1001A1001A65H,MAW,B04,217
2022-01-02T05:00+00:00Z,2022-01-02T06:00+00:00Z,10Y1001A1001A65H,MAW,B04,218
2022-01-02T06:00+00:00Z,2022-01-02T07:00+00:00Z,10Y1001A1001A65H,MAW,B04,233
2022-01-02T07:00+00:00Z,2022-01-02T08:00+00:00Z,10Y1001A1001A65H,MAW,B04,247
2022-01-02T08:00+00:00Z,2022-01-02T09:00+00:00Z,10Y1001A1001A65H,MAW,B04,245
2022-01-02T09:00+00:00Z,2022-01-02T10:00+00:00Z,10Y1001A1001A65H,MAW,B04,242
2022-01-02T10:00+00:00Z,2022-01-02T11:00+00:00Z,10Y1001A1001A65H,MAW,B04,239
2022-01-02T11:00+00:00Z,2022-01-02T12:00+00:00Z,10Y1001A1001A65H,MAW,B04,229
2022-01-02T12:00+00:00Z,2022-01-02T13:00+00:00Z,10Y1001A1001A65H,MAW,B04,230
2022-01-02T13:00+00:00Z,2022-01-02T14:00+00:00Z,10Y1001A1001A65H,MAW,B04,226
2022-01-02T14:00+00:00Z,2022-01-02T15:00+00:00Z,10Y1001A1001A65H,MAW,B04,241
2022-01-02T15:00+00:00Z,2022-01-02T16:00+00:00Z,10Y1001A1001A65H,MAW,B04,276
2022-01-02T16:00+00:00Z,2022-01-02T17:00+00:00Z,10Y1001A1001A65H,MAW,B04,251
2022-01-02T17:00+00:00Z,2022-01-02T18:00+00:00Z,10Y1001A1001A65H,MAW,B04,233
2022-01-02T18:00+00:00Z,2022-01-02T19:00+00:00Z,10Y1001A1001A65H,MAW,B04,228
2022-01-02T19:00+00:00Z,2022-01-02T20:00+00:00Z,10Y1001A1001A65H,MAW,B04,225
2022-01-02T20:00+00:00Z,2022-01-02T21:00+00:00Z,10Y1001A1001A65H,MAW,B04,221
2022-01-02T21:00+00:00Z,2022-01-02T22:00+00:00Z,10Y1001A1001A65H,MAW,B04,219
2022-01-02T22:00+00:00Z,2022-01-02T23:00+00:00Z,10Y1001A1001A65H,MAW,B04,215
2022-01-02T23:00+00:00Z,2022-01-03T00:00+00:00Z,10Y1001A1001A65H,MAW,B04,218
2022-01-03T00:00+00:00Z,2022-01-03T01:00+00:00Z,10Y1001A1001A65H,MAW,B04,215
2022-01-03T01:00+00:00Z,2022-01-03T02:00+00:00Z,10Y1001A1001A65H,MAW,B04,199
2022-01-03T02:00+00:00Z,2022-01-03T03:00+00:00Z,10Y1001A1001A65H,MAW,B04,191
2022-01-03T03:00+00:00Z,2022-01-03T04:00+00:00Z,10Y1001A1001A65H,MAW,B04,189
2022-01-03T04:00+00:00Z,2022-01-03T05:00+00:00Z,10Y1001A1001A65H,MAW,B04,230
2022-01-03T05:00+00:00Z,2022-01-03T06:00+00:00Z,10Y1001A1001A65H,MAW,B04,233
2022-01-03T06:00+00:00Z,2022-01-03T07:00+00:00Z,10Y1001A1001A65H,MAW,B04,221
2022-01-03T07:00+00:00Z,2022-01-03T08:00+00:00Z,10Y1001A1001A65H,MAW,B04,238
2022-01-03T08:00+00:00Z,2022-01-03T09:00+00:00Z,10Y1001A1001A65H,MAW,B04,241
2022-01-03T09:00+00:00Z,2022-01-03T10:00+00:00Z,10Y1001A1001A65H,MAW,B04,233
2022-01-03T10:00+00:00Z,2022-01-03T11:00+00:00Z,10Y1001A1001A65H,MAW,B04,228
2022-01-03T11:00+00:00Z,2022-01-03T12:00+00:00Z,10Y1001A1001A65H,MAW,B04,245
2022-01-03T12:00+00:00Z,2022-01-03T13:00+00:00Z,10Y1001A1001A65H,MAW,B04,262
2022-01-03T13:00+00:00Z,2022-01-03T14:00+00:00Z,10Y1001A1001A65H,MAW,B04,260
2022-01-03T14:00+00:00Z,2022-01-03T15:00+00:00Z,10Y1001A1001A65H,MAW,B04,306
2022-01-03T15:00+00:00Z,2022-01-03T16:00+00:00Z,10Y1001A1001A65H,MAW,B04,343
2022-01-03T16:00+00:00Z,2022-01-03T17:00+00:00Z,10Y1001A1001A65H,MAW,B04,357
2022-01-03T17:00+00:00Z,2022-01-03T18:00+00:00Z,10Y1001A1001A65H,MAW,B04,325
2022-01-03T18:00+00:00Z,2022-01-03T19:00+00:00Z,10Y1001A1001A65H,MAW,B04,292
2022-01-03T19:00+00:00Z,2022-01-03T20:00+00:00Z,10Y1001A1001A65H,MAW,B04,297
2022-01-03T20:00+00:00Z,2022-01-03T21:00+00:00Z,10Y1001A1001A65H,MAW,B04,299
2022-01-03T21:00+00:00Z,2022-01-03T22:00+00:00Z,10Y1001A1001A65H,MAW,B04,295
2022-01-03T22:00+00:00Z,2022-01-03T23:00+00:00Z,10Y1001A1001A65H,MAW,B04,246
