StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YES-REE------0,MAW,B19,6398
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YES-REE------0,MAW,B19,6456
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YES-REE------0,MAW,B19,6144
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YES-REE------0,MAW,B19,5943
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YES-REE------0,MAW,B19,5836
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YES-REE------0,MAW,B19,5685
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YES-REE------0,MAW,B19,5583
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YES-REE------0,MAW,B19,5546
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YES-REE------0,MAW,B19,5625
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YES-REE------0,MAW,B19,5201
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YES-REE------0,MAW,B19,4909
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YES-REE------0,MAW,B19,4490
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YES-REE------0,MAW,B19,4262
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YES-REE------0,MAW,B19,4113
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YES-REE------0,MAW,B19,4709
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YES-REE------0,MAW,B19,4927
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YES-REE------0,MAW,B19,5379
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YES-REE------0,MAW,B19,5617
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YES-REE------0,MAW,B19,6164
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YES-REE------0,MAW,B19,6530
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YES-REE------0,MAW,B19,6813
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YES-REE------0,MAW,B19,6838
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YES-REE------0,MAW,B19,6562
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YES-REE------0,MAW,B19,6413
2022-01-01T23:00+00:00Z,2022-01-02T00:00+00:00Z,10YES-REE------0,MAW,B19,6353
2022-01-02T00:00+00:00Z,2022-01-02T01:00+00:00Z,10YES-REE------0,MAW,B19,6053
2022-01-02T01:00+00:00Z,2022-01-02T02:00+00:00Z,10YES-REE------0,MAW,B19,5959
2022-01-02T02:00+00:00Z,2022-01-02T03:00+00:00Z,10YES-REE------0,MAW,B19,5816
2022-01-02T03:00+00:00Z,2022-01-02T04:00+00:00Z,10YES-REE------0,MAW,B19,5741
2022-01-02T04:00+00:00Z,2022-01-02T05:00+00:00Z,10YES-REE------0,MAW,B19,5585
2022-01-02T05:00+00:00Z,2022-01-02T06:00+00:00Z,10YES-REE------0,MAW,B19,5360
2022-01-02T06:00+00:00Z,2022-01-02T07:00+00:00Z,10YES-REE------0,MAW,B19,5082
2022-01-02T07:00+00:00Z,2022-01-02T08:00+00:00Z,10YES-REE------0,MAW,B19,4768
2022-01-02T08:00+00:00Z,2022-01-02T09:00+00:00Z,10YES-REE------0,MAW,B19,4420
2022-01-02T09:00+00:00Z,2022-01-02T10:00+00:00Z,10YES-REE------0,MAW,B19,3990
2022-01-02T10:00+00:00Z,2022-01-02T11:00+00:00Z,10YES-REE------0,MAW,B19,3880
2022-01-02T11:00+00:00Z,2022-01-02T12:00+00:00Z,10YES-REE------0,MAW,B19,3766
2022-01-02T12:00+00:00Z,2022-01-02T13:00+00:00Z,10YES-REE------0,MAW,B19,3425
2022-01-02T13:00+00:00Z,2022-01-02T14:00+00:00Z,10YES-REE------0,MAW,B19,3226
2022-01-02T14:00+00:00Z,2022-01-02T15:00+00:00Z,10YES-REE------0,MAW,B19,2817
2022-01-02T15:00+00:00Z,2022-01-02T16:00+00:00Z,10YES-REE------0,MAW,B19,2679
2022-01-02T16:00+00:00Z,2022-01-02T17:00+00:00Z,10YES-REE------0,MAW,B19,2636
2022-01-02T17:00+00:00Z,2022-01-02T18:00+00:00Z,10YES-REE------0,MAW,B19,2588
2022-01-02T18:00+00:00Z,2022-01-02T19:00+00:00Z,10YES-REE------0,MAW,B19,2560
2022-01-02T19:00+00:00Z,2022-01-02T20:00+00:00Z,10YES-REE------0,MAW,B19,2596
2022-01-02T20:00+00:00Z,2022-01-02T21:00+00:00Z,10YES-REE------0,MAW,B19,2737
2022-01-02T21:00+00:00Z,2022-01-02T22:00+00:00Z,10YES-REE------0,MAW,B19,2990
2022-01-02T22:00+00:00Z,2022-01-02T23:00+00:00Z,10YES-REE------0,MAW,B19,3382
2022-01-02T23:00+00:00Z,2022-01-03T00:00+00:00Z,10YES-REE------0,MAW,B19,3444
2022-01-03T00:00+00:00Z,2022-01-03T01:00+00:00Z,10YES-REE------0,MAW,B19,3602
2022-01-03T01:00+00:00Z,2022-01-03T02:00+00:00Z,10YES-REE------0,MAW,B19,3682
2022-01-03T02:00+00:00Z,2022-01-03T03:00+00:00Z,10YES-REE------0,MAW,B19,3724
2022-01-03T03:00+00:00Z,2022-01-03T04:00+00:00Z,10YES-REE------0,MAW,B19,3900
2022-01-03T04:00+00:00Z,2022-01-03T05:00+00:00Z,10YES-REE------0,MAW,B19,4031
2022-01-03T05:00+00:00Z,2022-01-03T06:00+00:00Z,10YES-REE------0,MAW,B19,4436
2022-01-03T06:00+00:00Z,2022-01-03T07:00+00:00Z,10YES-REE------0,MAW,B19,4939
2022-01-03T07:00+00:00Z,2022-01-03T08:00+00:00Z,10YES-REE------0,MAW,B19,5202
2022-01-03T08:00+00:00Z,2022-01-03T09:00+00:00Z,10YES-REE------0,MAW,B19,5160
2022-01-03T09:00+00:00Z,2022-01-03T10:00+00:00Z,10YES-REE------0,MAW,B19,5128
2022-01-03T10:00+00:00Z,2022-01-03T11:00+00:00Z,10YES-REE------0,MAW,B19,5444
2022-01-03T11:00+00:00Z,2022-01-03T12:00+00:00Z,10YES-REE------0,MAW,B19,5956
2022-01-03T12:00+00:00Z,2022-01-03T13:00+00:00Z,10YES-REE------0,MAW,B19,6396
2022-01-03T13:00+00:00Z,2022-01-03T14:00+00:00Z,10YES-REE------0,MAW,B19,6872
2022-01-03T14:00+00:00Z,2022-01-03T15:00+00:00Z,10YES-REE------0,MAW,B19,6947
2022-01-03T15:00+00:00Z,2022-01-03T16:00+00:00Z,10YES-REE------0,MAW,B19,7386
2022-01-03T16:00+00:00Z,2022-01-03T17:00+00:00Z,10YES-REE------0,MAW,B19,8310
2022-01-03T17:00+00:00Z,2022-01-03T18:00+00:00Z,10YES-REE------0,MAW,B19,9176
2022-01-03T18:00+00:00Z,2022-01-03T19:00+00:00Z,10YES-REE------0,MAW,B19,10044
2022-01-03T19:00+00:00Z,2022-01-03T20:00+00:00Z,10YES-REE------0,MAW,B19,10423
2022-01-03T20:00+00:00Z,2022-01-03T21:00+00:00Z,10YES-REE------0,MAW,B19,10684
2022-01-03T21:00+00:00Z,2022-01-03T22:00+00:00Z,10YES-REE------0,MAW,B19,11128
2022-01-03T22:00+00:00Z,2022-01-03T23:00+00:00Z,10YES-REE------0,MAW,B19,11419
2022-01-03T23:00+00:00Z,2022-01-04T00:00+00:00Z,10YES-REE------0,MAW,B19,11744
2022-01-04T00:00+00:00Z,2022-01-04T01:00+00:00Z,10YES-REE------0,MAW,B19,11722
2022-01-04T01:00+00:00Z,2022-01-04T02:00+00:00Z,10YES-REE------0,MAW,B19,11456
2022-01-04T02:00+00:00Z,2022-01-04T03:00+00:00Z,10YES-REE------0,MAW,B19,11172
2022-01-04T03:00+00:00Z,2022-01-04T04:00+00:00Z,10YES-REE------0,MAW,B19,11076
2022-01-04T04:00+00:00Z,2022-01-04T05:00+00:00Z,10YES-REE------0,MAW,B19,10740
2022-01-04T05:00+00:00Z,2022-01-04T06:00+00:00Z,10YES-REE------0,MAW,B19,10734
2022-01-04T06:00+00:00Z,2022-01-04T07:00+00:00Z,10YES-REE------0,MAW,B19,10838
2022-01-04T07:00+00:00Z,2022-01-04T08:00+00:00Z,10YES-REE------0,MAW,B19,10561
2022-01-04T08:00+00:00Z,2022-01-04T09:00+00:00Z,10YES-REE------0,MAW,B19,9919
2022-01-04T09:00+00:00Z,2022-01-04T10:00+00:00Z,10YES-REE------0,MAW,B19,10126
2022-01-04T10:00+00:00Z,2022-01-04T11:00+00:00Z,10YES-REE------0,MAW,B19,10800
2022-01-04T11:00+00:00Z,2022-01-04T12:00+00:00Z,10YES-REE------0,MAW,B19,11826
2022-01-04T12:00+00:00Z,2022-01-04T13:00+00:00Z,10YES-REE------0,MAW,B19,13076
2022-01-04T13:00+00:00Z,2022-01-04T14:00+00:00Z,10YES-REE------0,MAW,B19,13633
2022-01-04T14:00+00:00Z,2022-01-04T15:00+00:00Z,10YES-REE------0,MAW,B19,13623
2022-01-04T15:00+00:00Z,2022-01-04T16:00+00:00Z,10YES-REE------0,MAW,B19,12963
2022-01-04T16:00+00:00Z,2022-01-04T17:00+00:00Z,10YES-REE------0,MAW,B19,13254
2022-01-04T17:00+00:00Z,2022-01-04T18:00+00:00Z,10YES-REE------0,MAW,B19,13992
2022-01-04T18:00+00:00Z,2022-01-04T19:00+00:00Z,10YES-REE------0,MAW,B19,15214
2022-01-04T19:00+00:00Z,2022-01-04T20:00+00:00Z,10YES-REE------0,MAW,B19,15291
2022-01-04T20:00+00:00Z,2022-01-04T21:00+00:00Z,10YES-REE------0,MAW,B19,15377
2022-01-04T21:00+00:00Z,2022-01-04T22:00+00:00Z,10YES-REE------0,MAW,B19,15276
