StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:45+00:00Z,2022-01-01T00:00+00:00Z,10Y1001A1001A83F,MAW,B10,488
2022-01-01T00:00+00:00Z,2022-01-01T00:15+00:00Z,10Y1001A1001A83F,MAW,B10,568
2022-01-01T00:15+00:00Z,2022-01-01T00:30+00:00Z,10Y1001A1001A83F,MAW,B10,524
2022-01-01T00:30+00:00Z,2022-01-01T00:45+00:00Z,10Y1001A1001A83F,MAW,B10,504
2022-01-01T00:45+00:00Z,2022-01-01T01:00+00:00Z,10Y1001A1001A83F,MAW,B10,678
2022-01-01T01:00+00:00Z,2022-01-01T01:15+00:00Z,10Y1001A1001A83F,MAW,B10,518
2022-01-01T01:15+00:00Z,2022-01-01T01:30+00:00Z,10Y1001A1001A83F,MAW,B10,427
2022-01-01T01:30+00:00Z,2022-01-01T01:45+00:00Z,10Y1001A1001A83F,MAW,B10,242
2022-01-01T01:45+00:00Z,2022-01-01T02:00+00:00Z,10Y1001A1001A83F,MAW,B10,205
2022-01-01T02:00+00:00Z,2022-01-01T02:15+00:00Z,10Y1001A1001A83F,MAW,B10,188
2022-01-01T02:15+00:00Z,2022-01-01T02:30+00:00Z,10Y1001A1001A83F,MAW,B10,205
2022-01-01T02:30+00:00Z,2022-01-01T02:45+00:00Z,10Y1001A1001A83F,MAW,B10,164
2022-01-01T02:45+00:00Z,2022-01-01T03:00+00:00Z,10Y1001A1001A83F,MAW,B10,153
2022-01-01T03:00+00:00Z,2022-01-01T03:15+00:00Z,10Y1001A1001A83F,MAW,B10,129
2022-01-01T03:15+00:00Z,2022-01-01T03:30+00:00Z,10Y1001A1001A83F,MAW,B10,88
2022-01-01T03:30+00:00Z,2022-01-01T03:45+00:00Z,10Y1001A1001A83F,MAW,B10,84
2022-01-01T03:45+00:00Z,2022-01-01T04:00+00:00Z,10Y1001A1001A83F,MAW,B10,84
2022-01-01T04:00+00:00Z,2022-01-01T04:15+00:00Z,10Y1001A1001A83F,MAW,B10,87
2022-01-01T04:15+00:00Z,2022-01-01T04:30+00:00Z,10Y1001A1001A83F,MAW,B10,81
2022-01-01T04:30+00:00Z,2022-01-01T04:45+00:00Z,10Y1001A1001A83F,MAW,B10,77
2022-01-01T04:45+00:00Z,2022-01-01T05:00+00:00Z,10Y1001A1001A83F,MAW,B10,77
2022-01-01T05:00+00:00Z,2022-01-01T05:15+00:00Z,10Y1001A1001A83F,MAW,B10,77
2022-01-01T05:15+00:00Z,2022-01-01T05:30+00:00Z,10Y1001A1001A83F,MAW,B10,76
2022-01-01T05:30+00:00Z,2022-01-01T05:45+00:00Z,10Y1001A1001A83F,MAW,B10,78
2022-01-01T05:45+00:00Z,2022-01-01T06:00+00:00Z,10Y1001A1001A83F,MAW,B10,145
2022-01-01T06:00+00:00Z,2022-01-01T06:15+00:00Z,10Y1001A1001A83F,MAW,B10,145
2022-01-01T06:15+00:00Z,2022-01-01T06:30+00:00Z,10Y1001A1001A83F,MAW,B10,145
2022-01-01T06:30+00:00Z,2022-01-01T06:45+00:00Z,10Y1001A1001A83F,MAW,B10,145
