,Hungary_Biowaste,Hungary_Geothermal,Hungary_Hydro Run-of-river and poundage,Hungary_Other renewable,Hungary_Solar,Hungary_Wind Onshore,Hungary_Load,Italy_Biowaste,Italy_Geothermal,Italy_Hydro Run-of-river and poundage,Italy_Hydro Water Reservoir,Italy_Wind Onshore,Italy_Load,Poland_Biowaste,Poland_Hydro Pumped Storage,Poland_Hydro Run-of-river and poundage,Poland_Hydro Water Reservoir,Poland_Solar,Poland_Wind Onshore,Poland_Load,Spain_Biowaste,Spain_Geothermal,Spain_Hydro Run-of-river and poundage,Spain_Hydro Water Reservoir,Spain_Marine,Spain_Other renewable,Spain_Solar,Spain_Wind Offshore,Spain_Wind Onshore,Spain_Load,Germay_Biowaste,Germay_Geothermal,Germay_Hydro Run-of-river and poundage,Germay_Hydro Water Reservoir,Germay_Other renewable,Germay_Wind Offshore,Germay_Load,Denmark_Biowaste,Denmark_Solar,Denmark_Wind Offshore,Denmark_Wind Onshore,Denmark_Load,Sweden_Hydro Water Reservoir,Sweden_Solar,Sweden_Wind Onshore,Sweden_Load,Netherlands_Load
2021-12-31 23,133.0,1.0,12.0,8.0,1.0,127.0,4255.0,678.0,640.0,2116.0,243.0,2025.0,21122.0,222.0,1.0,177.0,1.0,1.0,4245.0,14439.0,534.0,1.0,1083.0,1348.0,1.0,99.0,76.0,1.0,6399.0,20828.0,4334.0,27.0,1425.0,120.0,127.0,5689.0,42197.0,469.0,2.0,1876.0,1309.0,3315.0,7016.0,1.0,4046.0,15332.0,10327.0
2022-1-1 0,524.0,1.0,45.0,31.0,1.0,744.0,16458.0,684.0,641.0,1952.0,201.0,2141.0,19757.0,222.0,1.0,200.0,1.0,1.0,4072.0,13936.0,525.0,1.0,1047.0,747.0,1.0,97.0,76.0,1.0,6457.0,19531.0,17296.0,105.0,5691.0,379.0,505.0,23113.0,165126.0,512.0,2.0,1905.0,1190.0,3219.0,7087.0,1.0,4022.0,15332.0,40707.0
2022-1-1 1,517.0,1.0,45.0,29.0,1.0,903.0,15427.0,671.0,640.0,1832.0,156.0,2234.0,18686.0,224.0,1.0,217.0,1.0,1.0,3998.0,13580.0,533.0,1.0,1046.0,734.0,1.0,97.0,76.0,1.0,6145.0,18384.0,17323.0,107.0,5684.0,133.0,505.0,21799.0,160416.0,520.0,2.0,1739.0,1052.0,3127.0,7089.0,1.0,3949.0,15271.0,39466.0
2022-1-1 2,508.0,1.0,45.0,29.0,1.0,946.0,14782.0,657.0,649.0,1843.0,159.0,2369.0,18125.0,226.0,1.0,239.0,1.0,1.0,4106.0,13398.0,529.0,1.0,1050.0,756.0,1.0,99.0,76.0,1.0,5944.0,17681.0,17344.0,109.0,5686.0,168.0,505.0,21819.0,158036.0,559.0,2.0,1437.0,1049.0,3081.0,6747.0,1.0,3764.0,15151.0,38924.0
2022-1-1 3,507.0,1.0,45.0,29.0,1.0,674.0,14631.0,650.0,649.0,1819.0,161.0,2152.0,18401.0,230.0,1.0,246.0,1.0,1.0,4086.0,13365.0,534.0,1.0,1032.0,720.0,1.0,97.0,76.0,1.0,5837.0,17397.0,17355.0,109.0,5677.0,300.0,505.0,21774.0,157017.0,469.0,2.0,1506.0,879.0,3045.0,7174.0,1.0,3598.0,15388.0,38212.0
2022-1-1 4,505.0,1.0,45.0,29.0,1.0,698.0,14689.0,645.0,650.0,1931.0,160.0,1821.0,19224.0,231.0,1.0,243.0,1.0,1.0,3903.0,13450.0,535.0,1.0,1017.0,612.0,1.0,94.0,76.0,1.0,5686.0,17545.0,17402.0,109.0,5638.0,271.0,505.0,17213.0,154553.0,506.0,2.0,1392.0,828.0,3131.0,7498.0,1.0,3356.0,15738.0,38147.0
2022-1-1 5,512.0,1.0,45.0,28.0,1.0,833.0,14961.0,643.0,649.0,2193.0,207.0,1794.0,19739.0,233.0,1.0,235.0,1.0,1.0,3838.0,13445.0,540.0,1.0,1019.0,780.0,1.0,92.0,76.0,1.0,5584.0,17867.0,17574.0,109.0,5641.0,133.0,505.0,18989.0,154276.0,555.0,2.0,1408.0,618.0,3239.0,7974.0,1.0,3136.0,16055.0,38957.0
2022-1-1 6,525.0,1.0,45.0,29.0,128.0,869.0,15035.0,645.0,649.0,2485.0,240.0,1760.0,20290.0,232.0,1.0,228.0,1.0,22.0,3892.0,13528.0,528.0,1.0,1030.0,769.0,1.0,96.0,145.0,1.0,5547.0,17807.0,17840.0,109.0,5653.0,153.0,505.0,18878.0,157357.0,721.0,2.0,1099.0,475.0,3379.0,8821.0,1.0,2938.0,16456.0,39969.0
2022-1-1 7,523.0,1.0,45.0,31.0,1030.0,787.0,15260.0,650.0,648.0,2205.0,202.0,1848.0,21470.0,235.0,35.0,208.0,1.0,115.0,3952.0,14203.0,526.0,1.0,1038.0,730.0,1.0,95.0,2025.0,1.0,5626.0,18534.0,18150.0,109.0,5714.0,131.0,505.0,16438.0,163001.0,715.0,13.0,735.0,347.0,3538.0,9061.0,2.0,2714.0,16944.0,40809.0
2022-1-1 8,521.0,1.0,45.0,33.0,2265.0,702.0,15552.0,648.0,648.0,2057.0,185.0,1649.0,22736.0,233.0,23.0,198.0,1.0,220.0,3733.0,14852.0,509.0,1.0,1050.0,748.0,1.0,93.0,5221.0,1.0,5202.0,20019.0,18230.0,101.0,5740.0,87.0,505.0,16632.0,171859.0,676.0,46.0,704.0,233.0,3715.0,9221.0,8.0,2442.0,17477.0,41743.0
2022-1-1 9,520.0,1.0,45.0,33.0,2890.0,686.0,16046.0,650.0,650.0,2084.0,197.0,1686.0,23637.0,231.0,4.0,209.0,1.0,301.0,3526.0,15644.0,502.0,1.0,1060.0,741.0,1.0,92.0,7034.0,1.0,4910.0,20990.0,18236.0,89.0,5760.0,94.0,505.0,16092.0,179830.0,669.0,68.0,611.0,257.0,3819.0,9254.0,14.0,2142.0,17658.0,42797.0
2022-1-1 10,523.0,1.0,45.0,33.0,2983.0,716.0,16501.0,662.0,651.0,2070.0,247.0,1952.0,24183.0,232.0,1.0,203.0,1.0,311.0,3272.0,16236.0,512.0,1.0,1054.0,706.0,1.0,96.0,7565.0,1.0,4491.0,21515.0,18072.0,76.0,5745.0,138.0,505.0,17730.0,188336.0,733.0,63.0,654.0,386.0,3894.0,9219.0,13.0,1895.0,17522.0,42495.0
2022-1-1 11,518.0,1.0,45.0,35.0,2394.0,822.0,16967.0,657.0,636.0,2001.0,202.0,2297.0,23271.0,231.0,5.0,211.0,1.0,250.0,2879.0,16713.0,522.0,1.0,1050.0,748.0,1.0,96.0,7515.0,1.0,4263.0,22106.0,17919.0,69.0,5709.0,101.0,505.0,20768.0,188529.0,650.0,41.0,715.0,502.0,3944.0,9239.0,9.0,1771.0,17543.0,42295.0
2022-1-1 12,519.0,1.0,45.0,35.0,1514.0,882.0,17196.0,647.0,636.0,1878.0,185.0,2562.0,22756.0,231.0,16.0,212.0,1.0,163.0,2486.0,16875.0,539.0,1.0,1043.0,868.0,1.0,95.0,7339.0,1.0,4114.0,22385.0,17854.0,69.0,5708.0,168.0,505.0,22542.0,184923.0,757.0,21.0,764.0,578.0,3916.0,9410.0,3.0,1724.0,17784.0,43154.0
2022-1-1 13,519.0,1.0,45.0,36.0,747.0,751.0,17489.0,649.0,635.0,2148.0,222.0,2477.0,22882.0,231.0,153.0,227.0,1.0,52.0,1998.0,17033.0,530.0,1.0,1040.0,959.0,1.0,92.0,6790.0,1.0,4710.0,21107.0,17953.0,69.0,5685.0,362.0,505.0,23768.0,182734.0,804.0,4.0,894.0,800.0,3989.0,9814.0,1.0,1804.0,18418.0,44380.0
2022-1-1 14,521.0,1.0,45.0,36.0,117.0,767.0,18053.0,643.0,635.0,2675.0,478.0,2405.0,23819.0,230.0,396.0,248.0,39.0,2.0,1459.0,17716.0,531.0,1.0,1069.0,1405.0,1.0,95.0,4764.0,1.0,4928.0,20618.0,18167.0,73.0,5667.0,266.0,505.0,24209.0,183468.0,852.0,2.0,1035.0,1315.0,4214.0,10095.0,1.0,2044.0,18621.0,45866.0
2022-1-1 15,520.0,1.0,45.0,34.0,1.0,788.0,19158.0,688.0,646.0,3213.0,717.0,2223.0,26743.0,230.0,780.0,255.0,44.0,1.0,1123.0,17888.0,538.0,1.0,1162.0,1933.0,1.0,93.0,1680.0,1.0,5380.0,21097.0,18452.0,73.0,5649.0,133.0,505.0,24504.0,195572.0,876.0,2.0,1103.0,1794.0,4474.0,10116.0,1.0,2460.0,18779.0,48407.0
2022-1-1 16,521.0,1.0,45.0,33.0,1.0,796.0,19170.0,703.0,653.0,3373.0,503.0,1984.0,27673.0,230.0,745.0,260.0,44.0,1.0,859.0,17930.0,539.0,1.0,1231.0,2779.0,1.0,93.0,271.0,1.0,5618.0,23212.0,18519.0,82.0,5616.0,141.0,505.0,24221.0,207260.0,851.0,2.0,1416.0,2074.0,4408.0,9946.0,1.0,2986.0,18622.0,52022.0
2022-1-1 17,522.0,1.0,45.0,33.0,1.0,655.0,19118.0,708.0,653.0,3358.0,553.0,1743.0,28394.0,230.0,794.0,258.0,44.0,1.0,669.0,17899.0,535.0,1.0,1170.0,2864.0,1.0,95.0,146.0,1.0,6165.0,24436.0,18591.0,88.0,5598.0,126.0,505.0,24214.0,208695.0,839.0,2.0,1749.0,2206.0,4134.0,9776.0,1.0,3451.0,17943.0,51430.0
2022-1-1 18,519.0,1.0,45.0,33.0,1.0,525.0,19078.0,698.0,654.0,2930.0,743.0,1491.0,27997.0,231.0,765.0,238.0,44.0,1.0,671.0,17595.0,539.0,1.0,1178.0,2981.0,1.0,95.0,130.0,1.0,6531.0,24965.0,18373.0,90.0,5601.0,144.0,505.0,24413.0,203721.0,694.0,2.0,1963.0,2397.0,3971.0,9554.0,1.0,4115.0,17482.0,50000.0
2022-1-1 19,520.0,1.0,45.0,35.0,1.0,531.0,18696.0,699.0,654.0,2654.0,746.0,1360.0,26694.0,231.0,505.0,218.0,44.0,1.0,722.0,16973.0,541.0,1.0,1160.0,2932.0,1.0,92.0,79.0,1.0,6814.0,25190.0,17989.0,101.0,5615.0,167.0,505.0,25191.0,196042.0,546.0,2.0,2076.0,2477.0,3822.0,9213.0,1.0,4849.0,17049.0,47941.0
2022-1-1 20,520.0,1.0,45.0,34.0,1.0,477.0,18143.0,655.0,654.0,2434.0,583.0,1392.0,24636.0,230.0,423.0,217.0,6.0,1.0,754.0,16427.0,540.0,1.0,1107.0,2621.0,1.0,91.0,50.0,1.0,6839.0,24135.0,17751.0,105.0,5631.0,157.0,505.0,26158.0,191636.0,473.0,2.0,2049.0,2372.0,3620.0,8743.0,1.0,5365.0,16462.0,46053.0
2022-1-1 21,519.0,1.0,45.0,34.0,1.0,391.0,17311.0,633.0,654.0,2060.0,280.0,1358.0,22405.0,230.0,71.0,217.0,1.0,1.0,879.0,15412.0,536.0,1.0,1102.0,2560.0,1.0,93.0,15.0,1.0,6563.0,22553.0,17588.0,109.0,5610.0,386.0,505.0,27149.0,187528.0,416.0,2.0,2057.0,2276.0,3463.0,8333.0,1.0,5717.0,16049.0,44114.0
2022-1-1 22,522.0,1.0,45.0,36.0,1.0,364.0,16381.0,662.0,653.0,2050.0,146.0,1372.0,20429.0,226.0,1.0,212.0,1.0,1.0,1330.0,14481.0,535.0,1.0,1064.0,1386.0,1.0,93.0,1.0,1.0,6414.0,21049.0,17456.0,110.0,5584.0,133.0,505.0,27828.0,176367.0,366.0,2.0,1951.0,1763.0,3352.0,7066.0,1.0,6178.0,15925.0,42276.0
2022-1-1 23,520.0,1.0,45.0,31.0,1.0,336.0,15481.0,661.0,652.0,1724.0,153.0,1417.0,18990.0,225.0,1.0,211.0,1.0,1.0,1862.0,13834.0,539.0,1.0,1051.0,1002.0,1.0,88.0,16.0,1.0,6354.0,19474.0,17243.0,113.0,5535.0,214.0,505.0,27735.0,170079.0,362.0,2.0,1839.0,1761.0,3174.0,6520.0,1.0,6235.0,15329.0,41054.0
2022-1-2 0,516.0,1.0,45.0,28.0,1.0,272.0,14902.0,650.0,652.0,1623.0,121.0,1366.0,18084.0,225.0,1.0,211.0,1.0,1.0,2307.0,13452.0,538.0,1.0,1039.0,686.0,1.0,87.0,6.0,1.0,6054.0,18376.0,17314.0,111.0,5536.0,255.0,505.0,27314.0,164924.0,354.0,2.0,1862.0,1745.0,3129.0,6272.0,1.0,6297.0,15038.0,39563.0
2022-1-2 1,513.0,1.0,45.0,29.0,1.0,115.0,14343.0,644.0,652.0,1602.0,120.0,1344.0,17741.0,225.0,1.0,211.0,1.0,1.0,2747.0,13268.0,545.0,1.0,1033.0,566.0,1.0,86.0,6.0,1.0,5960.0,17842.0,17327.0,111.0,5530.0,521.0,505.0,26572.0,162520.0,385.0,2.0,1854.0,1495.0,3094.0,5354.0,1.0,6258.0,14771.0,38688.0
2022-1-2 2,507.0,1.0,45.0,27.0,1.0,34.0,14143.0,643.0,652.0,1639.0,130.0,1237.0,17738.0,230.0,1.0,210.0,1.0,1.0,3170.0,13327.0,546.0,1.0,1035.0,551.0,1.0,88.0,6.0,1.0,5817.0,17540.0,17326.0,109.0,5523.0,507.0,505.0,24882.0,162754.0,422.0,2.0,1827.0,1570.0,3064.0,5057.0,1.0,6035.0,14707.0,38237.0
2022-1-2 3,505.0,1.0,45.0,27.0,1.0,65.0,14437.0,641.0,652.0,1649.0,130.0,1220.0,18410.0,223.0,1.0,209.0,1.0,1.0,3346.0,13715.0,549.0,1.0,1034.0,559.0,1.0,90.0,6.0,1.0,5742.0,17685.0,17369.0,108.0,5514.0,540.0,505.0,24275.0,163005.0,345.0,2.0,1832.0,1639.0,3150.0,5121.0,1.0,5733.0,14753.0,38284.0
2022-1-2 4,501.0,1.0,45.0,27.0,1.0,237.0,15009.0,643.0,652.0,1804.0,155.0,1072.0,19870.0,234.0,1.0,208.0,39.0,1.0,3505.0,14231.0,555.0,1.0,1030.0,665.0,1.0,88.0,6.0,1.0,5586.0,18354.0,17433.0,105.0,5506.0,472.0,505.0,25190.0,162454.0,396.0,2.0,1681.0,1625.0,3261.0,5449.0,1.0,5395.0,15203.0,38980.0
2022-1-2 5,505.0,1.0,45.0,30.0,1.0,359.0,16123.0,634.0,652.0,2034.0,220.0,962.0,21149.0,235.0,1.0,208.0,44.0,1.0,3523.0,14543.0,545.0,1.0,1013.0,697.0,1.0,89.0,6.0,1.0,5361.0,19224.0,17613.0,105.0,5496.0,164.0,505.0,23349.0,162597.0,424.0,2.0,1661.0,1580.0,3456.0,6598.0,1.0,5005.0,15917.0,40265.0
2022-1-2 6,519.0,1.0,45.0,33.0,123.0,355.0,16882.0,644.0,653.0,2318.0,332.0,875.0,22333.0,236.0,1.0,208.0,44.0,63.0,3609.0,14961.0,551.0,1.0,1015.0,821.0,1.0,85.0,89.0,1.0,5083.0,19937.0,17872.0,105.0,5483.0,99.0,505.0,21702.0,171916.0,549.0,2.0,1580.0,1512.0,3723.0,7222.0,1.0,4739.0,16546.0,42238.0
2022-1-2 7,519.0,2.0,45.0,36.0,925.0,364.0,17860.0,663.0,653.0,2326.0,268.0,799.0,23776.0,234.0,271.0,209.0,44.0,259.0,3644.0,15856.0,551.0,1.0,1033.0,962.0,1.0,86.0,1621.0,1.0,4769.0,21532.0,18136.0,104.0,5484.0,136.0,505.0,22053.0,185203.0,576.0,4.0,1535.0,1386.0,3906.0,8379.0,1.0,4388.0,16961.0,44703.0
2022-1-2 8,521.0,5.0,45.0,40.0,2155.0,345.0,18360.0,658.0,652.0,2500.0,353.0,827.0,24698.0,234.0,294.0,205.0,44.0,544.0,3772.0,16710.0,554.0,1.0,1023.0,826.0,1.0,89.0,4217.0,1.0,4421.0,23287.0,18274.0,101.0,5489.0,133.0,505.0,20432.0,195495.0,652.0,17.0,1387.0,1289.0,4098.0,8846.0,4.0,4096.0,17300.0,46563.0
2022-1-2 9,519.0,5.0,45.0,38.0,2937.0,288.0,18527.0,669.0,652.0,2505.0,391.0,1012.0,25361.0,232.0,285.0,200.0,44.0,634.0,3920.0,17033.0,550.0,1.0,1036.0,838.0,1.0,88.0,5886.0,1.0,3991.0,24127.0,18299.0,99.0,5524.0,154.0,505.0,22234.0,205033.0,711.0,25.0,1198.0,1047.0,4168.0,9037.0,6.0,3772.0,17429.0,46442.0
2022-1-2 10,522.0,5.0,45.0,40.0,3123.0,212.0,18847.0,657.0,652.0,2493.0,365.0,1377.0,26124.0,234.0,285.0,195.0,44.0,706.0,4002.0,17415.0,541.0,1.0,1025.0,727.0,1.0,90.0,6656.0,1.0,3881.0,24203.0,18120.0,94.0,5530.0,163.0,505.0,25155.0,216803.0,717.0,31.0,1053.0,838.0,4199.0,9130.0,6.0,3637.0,17554.0,47999.0
2022-1-2 11,517.0,5.0,45.0,40.0,2819.0,165.0,18757.0,651.0,652.0,2367.0,369.0,1841.0,25309.0,231.0,217.0,192.0,44.0,601.0,4040.0,18007.0,549.0,1.0,1033.0,764.0,1.0,88.0,6916.0,1.0,3767.0,24674.0,17837.0,91.0,5496.0,199.0,505.0,24648.0,217097.0,679.0,27.0,737.0,741.0,4213.0,9258.0,4.0,3357.0,17793.0,48586.0
2022-1-2 12,515.0,1.0,45.0,41.0,1908.0,130.0,18839.0,641.0,653.0,1972.0,231.0,2187.0,24752.0,233.0,1.0,201.0,44.0,325.0,4093.0,17915.0,548.0,1.0,1038.0,829.0,1.0,90.0,6869.0,1.0,3426.0,24922.0,17726.0,90.0,5482.0,133.0,505.0,24074.0,212696.0,755.0,15.0,710.0,737.0,4192.0,9463.0,2.0,3093.0,17913.0,47661.0
2022-1-2 13,514.0,1.0,45.0,43.0,872.0,105.0,19192.0,641.0,654.0,2040.0,273.0,2421.0,24919.0,233.0,158.0,204.0,44.0,99.0,4254.0,18025.0,547.0,1.0,1066.0,798.0,1.0,91.0,6555.0,1.0,3227.0,23870.0,17699.0,89.0,5486.0,219.0,505.0,22388.0,210912.0,744.0,3.0,977.0,774.0,4302.0,9712.0,1.0,2811.0,18078.0,47920.0
2022-1-2 14,530.0,1.0,43.0,44.0,168.0,108.0,19942.0,651.0,654.0,2390.0,306.0,2617.0,26050.0,236.0,411.0,223.0,44.0,2.0,4630.0,18628.0,541.0,1.0,1077.0,1157.0,1.0,92.0,4750.0,1.0,2818.0,23259.0,17799.0,89.0,5465.0,176.0,505.0,23994.0,214432.0,855.0,2.0,1290.0,930.0,4522.0,9777.0,1.0,2605.0,18266.0,48989.0
2022-1-2 15,543.0,1.0,41.0,41.0,1.0,123.0,21434.0,665.0,652.0,3017.0,550.0,2906.0,28971.0,235.0,794.0,234.0,44.0,1.0,5234.0,18738.0,545.0,1.0,1094.0,2054.0,1.0,91.0,1652.0,1.0,2680.0,23643.0,18090.0,89.0,5434.0,362.0,505.0,25259.0,225626.0,862.0,2.0,1437.0,1281.0,4874.0,9905.0,1.0,2463.0,18542.0,51784.0
2022-1-2 16,543.0,1.0,41.0,41.0,1.0,116.0,21540.0,683.0,652.0,3208.0,494.0,3143.0,30089.0,235.0,1020.0,237.0,44.0,1.0,5500.0,18754.0,551.0,1.0,1139.0,2940.0,1.0,93.0,168.0,1.0,2637.0,25966.0,18324.0,90.0,5419.0,211.0,505.0,25549.0,235223.0,824.0,2.0,1748.0,1619.0,4736.0,9771.0,1.0,2422.0,18425.0,55588.0
2022-1-2 17,543.0,4.0,41.0,41.0,1.0,64.0,21400.0,685.0,652.0,3262.0,447.0,3218.0,30782.0,234.0,561.0,232.0,44.0,1.0,5882.0,18775.0,546.0,1.0,1218.0,4280.0,1.0,93.0,65.0,1.0,2589.0,27308.0,18464.0,89.0,5434.0,419.0,505.0,26310.0,234293.0,811.0,2.0,1909.0,2079.0,4434.0,9570.0,1.0,2361.0,18011.0,54122.0
2022-1-2 18,543.0,5.0,41.0,41.0,1.0,90.0,21158.0,685.0,652.0,2927.0,390.0,3594.0,29663.0,235.0,215.0,228.0,44.0,1.0,5932.0,18379.0,550.0,1.0,1283.0,4741.0,1.0,93.0,65.0,1.0,2561.0,28244.0,18405.0,89.0,5432.0,581.0,505.0,27162.0,227206.0,571.0,2.0,1998.0,2318.0,4184.0,9395.0,1.0,2370.0,17306.0,52578.0
2022-1-2 19,543.0,5.0,41.0,39.0,1.0,135.0,20458.0,652.0,652.0,2378.0,181.0,3521.0,27564.0,233.0,20.0,211.0,44.0,1.0,6054.0,17528.0,552.0,1.0,1267.0,4476.0,1.0,91.0,64.0,1.0,2597.0,28063.0,18247.0,89.0,5421.0,319.0,505.0,27840.0,216386.0,496.0,2.0,1971.0,2263.0,3975.0,8606.0,1.0,2411.0,16547.0,50706.0
2022-1-2 20,543.0,5.0,41.0,37.0,1.0,179.0,19466.0,622.0,652.0,2010.0,125.0,3542.0,25327.0,228.0,34.0,202.0,6.0,1.0,6149.0,16898.0,552.0,1.0,1148.0,3789.0,1.0,89.0,46.0,1.0,2738.0,26651.0,17967.0,92.0,5421.0,181.0,505.0,26120.0,208695.0,529.0,2.0,1840.0,2015.0,3770.0,8365.0,1.0,2611.0,16270.0,48615.0
2022-1-2 21,546.0,5.0,40.0,33.0,1.0,185.0,18476.0,590.0,652.0,1858.0,108.0,3485.0,22898.0,230.0,5.0,201.0,1.0,1.0,6063.0,15712.0,548.0,1.0,1135.0,2902.0,1.0,89.0,41.0,1.0,2991.0,24536.0,17721.0,93.0,5424.0,213.0,505.0,23577.0,200591.0,468.0,2.0,1748.0,1734.0,3560.0,6720.0,1.0,2648.0,15507.0,46843.0
2022-1-2 22,546.0,5.0,37.0,33.0,1.0,219.0,17310.0,616.0,652.0,1751.0,105.0,3685.0,20860.0,225.0,1.0,195.0,1.0,1.0,6080.0,14919.0,550.0,1.0,1024.0,1146.0,1.0,88.0,41.0,1.0,3383.0,22801.0,17455.0,93.0,5432.0,95.0,505.0,24364.0,188412.0,465.0,2.0,1586.0,1566.0,3395.0,5454.0,1.0,2724.0,15320.0,44467.0
2022-1-2 23,517.0,5.0,37.0,29.0,1.0,414.0,16341.0,614.0,652.0,1633.0,123.0,3720.0,19414.0,226.0,1.0,185.0,1.0,1.0,5755.0,14447.0,553.0,1.0,999.0,865.0,1.0,88.0,41.0,1.0,3445.0,21174.0,17186.0,94.0,5406.0,342.0,505.0,25062.0,179880.0,433.0,2.0,1396.0,1597.0,3346.0,5268.0,1.0,2812.0,15050.0,42801.0
2022-1-3 0,513.0,5.0,37.0,29.0,1.0,621.0,15729.0,619.0,652.0,1585.0,128.0,3754.0,18842.0,226.0,1.0,185.0,1.0,1.0,5438.0,14224.0,548.0,1.0,1012.0,776.0,1.0,89.0,41.0,1.0,3603.0,20154.0,17162.0,97.0,5407.0,435.0,505.0,23648.0,173129.0,410.0,2.0,1285.0,1580.0,3309.0,5226.0,1.0,2673.0,14809.0,41393.0
2022-1-3 1,513.0,5.0,37.0,29.0,1.0,608.0,15248.0,604.0,652.0,1567.0,115.0,3716.0,18544.0,226.0,1.0,185.0,1.0,1.0,5105.0,14321.0,544.0,1.0,991.0,735.0,1.0,86.0,41.0,1.0,3683.0,19680.0,17151.0,97.0,5421.0,495.0,505.0,22846.0,170686.0,382.0,2.0,1133.0,1784.0,3286.0,5246.0,1.0,2653.0,14887.0,40807.0
2022-1-3 2,503.0,5.0,37.0,28.0,1.0,406.0,15226.0,601.0,652.0,1624.0,113.0,3715.0,19053.0,224.0,1.0,185.0,1.0,1.0,4713.0,14815.0,546.0,1.0,1004.0,805.0,1.0,87.0,41.0,1.0,3725.0,19755.0,17054.0,97.0,5433.0,531.0,505.0,22672.0,173479.0,361.0,2.0,1397.0,1944.0,3362.0,5782.0,1.0,2610.0,15345.0,40493.0
2022-1-3 3,501.0,5.0,37.0,29.0,1.0,361.0,16019.0,599.0,652.0,1634.0,106.0,3564.0,20706.0,228.0,17.0,188.0,1.0,1.0,4130.0,15728.0,547.0,1.0,991.0,815.0,1.0,87.0,41.0,1.0,3901.0,20517.0,17181.0,97.0,5459.0,356.0,505.0,23811.0,181773.0,487.0,2.0,1726.0,2101.0,3585.0,6263.0,1.0,2540.0,15735.0,40989.0
2022-1-3 4,502.0,5.0,37.0,28.0,1.0,545.0,18136.0,608.0,652.0,1691.0,122.0,3364.0,24671.0,232.0,69.0,200.0,39.0,1.0,3885.0,18750.0,548.0,1.0,998.0,1234.0,1.0,87.0,41.0,1.0,4032.0,22970.0,17284.0,96.0,5456.0,355.0,505.0,24393.0,199217.0,540.0,2.0,1853.0,2415.0,4202.0,8234.0,1.0,2584.0,17214.0,43741.0
2022-1-3 5,517.0,5.0,37.0,32.0,1.0,364.0,21081.0,631.0,651.0,2186.0,242.0,3373.0,28931.0,230.0,81.0,213.0,44.0,2.0,3612.0,20922.0,547.0,1.0,1016.0,1576.0,1.0,90.0,41.0,1.0,4437.0,26156.0,17596.0,94.0,5460.0,219.0,505.0,24525.0,228636.0,723.0,2.0,1847.0,2465.0,4773.0,10016.0,1.0,2623.0,18765.0,47805.0
2022-1-3 6,518.0,2.0,34.0,38.0,50.0,767.0,22266.0,634.0,651.0,3336.0,442.0,3172.0,32666.0,232.0,177.0,224.0,44.0,58.0,3676.0,22136.0,545.0,1.0,1056.0,1928.0,1.0,90.0,112.0,1.0,4940.0,28547.0,17998.0,97.0,5460.0,577.0,505.0,24220.0,250879.0,791.0,2.0,1971.0,2402.0,5080.0,10351.0,1.0,2621.0,19397.0,52779.0
2022-1-3 7,516.0,1.0,33.0,43.0,325.0,840.0,22990.0,650.0,651.0,3430.0,512.0,2761.0,35379.0,235.0,48.0,238.0,44.0,145.0,3751.0,22930.0,541.0,1.0,1078.0,2400.0,1.0,93.0,1864.0,1.0,5203.0,30213.0,18299.0,97.0,5460.0,281.0,505.0,24275.0,261929.0,810.0,13.0,2033.0,2901.0,5073.0,10420.0,2.0,2560.0,19452.0,57030.0
2022-1-3 8,515.0,1.0,26.0,43.0,429.0,774.0,23503.0,654.0,647.0,2609.0,396.0,2780.0,35697.0,236.0,2.0,239.0,44.0,275.0,3987.0,22936.0,542.0,1.0,1083.0,1783.0,1.0,93.0,5025.0,1.0,5161.0,31107.0,18278.0,97.0,5503.0,180.0,505.0,23684.0,267002.0,844.0,39.0,2072.0,3073.0,5191.0,10308.0,5.0,2719.0,19621.0,58112.0
2022-1-3 9,517.0,1.0,13.0,40.0,663.0,738.0,23776.0,634.0,643.0,2232.0,223.0,3151.0,35707.0,235.0,47.0,239.0,44.0,418.0,4320.0,23367.0,532.0,1.0,1074.0,1340.0,1.0,99.0,6781.0,1.0,5129.0,30789.0,18133.0,97.0,5498.0,160.0,505.0,22620.0,272755.0,842.0,66.0,2087.0,3281.0,5247.0,10380.0,8.0,2971.0,19917.0,56876.0
2022-1-3 10,513.0,1.0,30.0,38.0,995.0,915.0,23805.0,624.0,649.0,2004.0,217.0,3271.0,34696.0,237.0,248.0,242.0,44.0,534.0,4586.0,23609.0,539.0,1.0,1050.0,1022.0,1.0,101.0,7406.0,1.0,5445.0,30500.0,17973.0,97.0,5478.0,184.0,505.0,22546.0,279274.0,853.0,84.0,2092.0,3357.0,5135.0,10431.0,8.0,2958.0,20006.0,55465.0
2022-1-3 11,515.0,1.0,33.0,40.0,1168.0,828.0,23652.0,621.0,652.0,2012.0,217.0,3478.0,34344.0,235.0,190.0,243.0,44.0,433.0,4830.0,23667.0,540.0,1.0,1040.0,974.0,1.0,102.0,7558.0,1.0,5957.0,30486.0,17853.0,97.0,5458.0,227.0,505.0,22526.0,280239.0,801.0,85.0,2089.0,3419.0,5079.0,10466.0,6.0,3181.0,20205.0,55855.0
